"id","intern nummer","machinenummer","type","merk","model","serienummer","bouwjaar","keuringsrapporten","verhuurregels","status"
"1900a8ea-bd7a-48f5-b44e-7781ed274e9f","","H2X387D01791","heftruck_reachtruck","Linde","E30L","H2X387D01791","2011","1","0","available"
"521f1162-5670-4a7e-8f7b-eb4e21f06bfd","H2X387D01791","H2X387D01791-bl-2","batterij_lader","Batterijbv","Traktie 5Pzs625","H2X387D01791","2013","1","0","available"
"7b05c3b2-c2a2-47ca-8e11-35f84b3e7c8a","H2X387D01791","H2X387D01791-bl","batterij_lader","Sun tqb","Traktie","H2X387D01791","2013","2","0","available"
"67041a06-4673-4f78-ae95-507973524b5f","","H2X387E01906","heftruck_reachtruck","Linde","E30L","H2X387E01906","2014","1","0","available"
"99d378c3-c596-40c7-a20f-e80ae3b8f00a","","H2X387F01757","heftruck_reachtruck","Linde","E25/600","H2X387F01757","2015","1","0","available"
"d131cef6-05ad-4c55-8b3e-a0e59fb573fd","","H2X387G00076","heftruck_reachtruck","Linde","E30L","H2X387G00076","2016","1","0","available"
"c5c73971-0128-491f-be1a-e248749d077f","","H2X387G00082","heftruck_reachtruck","Linde","E30L","H2X387G00082","2016","1","0","available"
"b7a71e9f-d930-4817-93d8-9306943e0215","","H2X387G00805","heftruck_reachtruck","Linde","E25HL-01/600","H2X387G00805","2016","1","0","available"
"8e9abb91-c3cd-43e7-923e-627077f3a8d7","","H2X387H05597","heftruck_reachtruck","Linde","E35L","H2X387H05597","2017","2","0","available"
"f4008cad-2975-473c-a0c9-7b13db7243f6","","H2X387J01304","heftruck_reachtruck","Linde","E30H-01/600","H2X387J01304","2018","1","0","available"
"16b93355-6c7e-4844-8072-fce889e72a47","H2X387V03942","H2X387V03942","batterij_lader","Hawker","Traktie 4Pzs500","H2X387V03942","","1","0","available"
"b3454022-be8e-49ff-96c0-b59ff8fd6cf3","","H2X388E00149","heftruck_reachtruck","Linde","E45HL","H2X388E00149","2014","1","0","available"
"d3a17879-42c4-450c-adda-85cdaff2f475","H2X388E00487","H2X388E00487","batterij_lader","Sun","5Pzs775","535825","2014","2","0","available"
"9d45f019-0d83-459e-a88e-c527c6299a36","H2X388V01125","H2X388V01125","batterij_lader","batterij bv","6pzs775","H2X388V01125","2019","1","0","available"
"4e620eb6-da8d-4fcf-bb19-1191ac5bbb34","","H2X38V02214","heftruck_reachtruck","Linde","E35","H2X38V02214","2019","1","0","available"
"0c15390a-3fd3-45ca-a30e-bab968deb9fb","","H2X393A04345","heftruck_reachtruck","Linde","H35D-01","H2X393A04345","2011","1","0","available"
"8f7d5506-c9b8-46b4-9163-166bf845d556","","H2X393G02691","heftruck_reachtruck","Linde","H35D","H2X393G02691","2016","1","0","available"
"e1b79b7b-0fe3-4d95-893d-bd70b7809422","","H2X393H01488","heftruck_reachtruck","Linde","H35D-01","H2X393H01488","2017","1","0","available"
"7dae6cbe-b0bc-40c0-bb60-978baca28f4c","","H2X393T05343","heftruck_reachtruck","Linde","H25D","H2X393T05343","2006","1","0","available"
"f6b23666-8735-4a18-8fa6-ce431cb67b34","H2X396W02905","H2X396W02905","batterij_lader","Bat","Traktie","H2X396W02905","2008","1","0","available"
"bcf3837e-cc30-47a7-97bb-6fcabddc4ab5","","hanenburg-linde-e25","batterij_lader","Sun","Traktie","","2010","2","0","available"
"05748a5c-1184-46ea-9000-bae655fb6588","","Heftrucks Friesland B.V. | Gersikkers 3 | 9073 KA Marrum | Age Terpstra | 06-53842843 - 07-10-2025","hoogwerker","","","","","1","0","available"
"b0d64bcc-f1a4-4b1f-afd4-2ce0a9efe15a","","Heftrucks Friesland B.V. | Gersikkers 3 | 9073 KA Marrum | Age Terpstra | 06-53842843 - 2025-10-07","shovel","Stelling","Stellingmateriaal","","","4","0","available"
"11cf5765-c990-4faa-8084-e6cebedddb64","","heftrucks-friesland-b.v.-|-gersikkers-3-|-9073-ka-marrum-|-age-terpstra-|-06-53842843--","batterij_lader","Batterij / lader","Onbekend","","","8","0","available"
"bbfd44a8-3999-453c-b2b5-e3c96def4788","HL 0743072 (3) nr 1. 2. 3 en nr 4","HL 0743072 (3) nr 1. 2. 3 en nr 4","batterij_lader","SPE","start traktie","HL 0743072 (3) nr 1. 2. 3 en nr 4","2018","3","0","available"
"de224ac7-6a65-46f4-9d46-c6537f1cf80c","","IH5295","hoogwerker","IHIMER","LEM1500","IH5295","2009","1","0","available"
"2f2c0fee-20c4-4658-9b5e-33e0cecba746","","mg-energy-systems-bt-pph1600mx","batterij_lader","Chloride","2pzs","","1996","1","0","available"
"b08b86bd-94ca-406c-89ad-b9f9fff85336","","norder-holding-linde-g1x336w50878","batterij_lader","Tab /Sun","Traktie 5pzs775","","2009","1","0","available"
"99f00e93-24d0-4d18-a96a-77f96673448f","","riviera-bt-swe080l","batterij_lader","Batterij bv","Traktie 2pzs210","","2009","1","0","available"
"ae85ddbc-762d-490b-aa3a-d3e894e328d8","S","S","batterij_lader","Linde","H2X386C01953","S","2012","1","0","available"
"b18e46df-25c3-44be-b80f-36b023574095","","straal-en-coating-bedrijf-ep-cpd10j","batterij_lader","Tab","Traktie 48/420","","","1","0","available"
"19af4113-9a4a-4405-be7d-62b97bc95a80","","Terpstra Trading - Skyjack - 12-06-2023","hoogwerker","Skyjack","","","","1","0","available"
"2aec3a28-56a7-4270-b915-a6920b7d5141","","Terpstra Trading - Skyjack - SJ3219 - 11-09-2023","hoogwerker","Skyjack","SJ3219","","2014","1","0","available"
"21598853-22f8-4cf5-a368-8c9f54b1ce9f","","Terpstra trading bv - grove - MZ46CXT - 08-09-2020","hoogwerker","grove","MZ46CXT","","1999","1","0","available"
"aca7f289-67fd-4a67-b643-dcfd7dec70ce","","Terpstra Trading BV | Ceresweg 11| 8938 BG | Leeuwarden | 058-2023066 | Age Terpstra - 2020-12-10","heftruck_reachtruck","heftruck reachtruck","Bronimport","","","1","0","available"
"60eba8eb-1f2b-41a0-8db8-f11688f61f73","","Terpstra Trading BV | Ceresweg 11| 8938 BG | Leeuwarden | 058-2023066 | Age Terpstra - 2021-03-11","shovel","shovel","Bronimport","","","1","0","available"
"f32d6f41-5207-4dc0-b4db-c31c4c9377c4","","Terpstra Trading BV | Ceresweg 11| 8938 BG | Leeuwarden | 058-2023066 | Age Terpstra - 21-12-2020","hoogwerker","","","","","1","0","available"
"26ef76d8-450a-4809-bc97-c702b1121c92","","test 2503 - 2025-03-25","heftruck_reachtruck","heftruck reachtruck","Bronimport","","","1","0","available"
"a243190b-e1e3-46e8-b1d1-76dde4cf72d7","","test 25032025 - 2025-03-25","heftruck_reachtruck","heftruck reachtruck","Bronimport","","","1","0","available"
"9f558da0-b176-43cd-8e12-2cc8b4d6909c","","test hw - 25-03-2025","hoogwerker","","","","","1","0","available"
"5ea0f47a-8184-4ce0-a7bc-7e75474d9f54","","test-2--","batterij_lader","Batterij / lader","Onbekend","","","1","0","available"
"dd5a327d-0696-4aa9-9c6b-183482a102a3","","testgegevens--","batterij_lader","Batterij / lader","Onbekend","","","1","0","available"
"0e8b2183-02f8-4240-bc63-fc740de20154","Type M-80-P","Type M-80-P","stellingmateriaal","Mecalux","palletstellingen","","","1","0","available"
